2026-07-18 21:26:15 | WARNING  | core.embeddings | Fast embedding backend unavailable (No module named 'sentence_transformers'); falling back to Ollama. Install 'sentence-transformers' and 'torch' for much faster bulk ingestion.
2026-07-18 21:26:29 | INFO     | utils.file_utils | Saved upload 'Python_Question_Bank_with_Answers.pdf' (132465 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\Python_Question_Bank_with_Answers.pdf
2026-07-18 21:26:29 | INFO     | core.text_processor | Extracted 14 non-empty page(s) from 'Python_Question_Bank_with_Answers.pdf'
2026-07-18 21:26:29 | INFO     | core.text_processor | Split 'Python_Question_Bank_with_Answers.pdf' into 76 chunk(s)
2026-07-18 21:26:55 | INFO     | core.vector_store | Added 76 chunk(s) to the vector store
2026-07-18 21:26:55 | INFO     | utils.file_utils | Saved upload 'PYTHON QUESTION BANK (BASIC TO OOPS).pdf' (171683 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\PYTHON QUESTION BANK (BASIC TO OOPS).pdf
2026-07-18 21:26:55 | INFO     | core.text_processor | Extracted 11 non-empty page(s) from 'PYTHON QUESTION BANK (BASIC TO OOPS).pdf'
2026-07-18 21:26:55 | INFO     | core.text_processor | Split 'PYTHON QUESTION BANK (BASIC TO OOPS).pdf' into 21 chunk(s)
2026-07-18 21:27:01 | INFO     | core.vector_store | Added 21 chunk(s) to the vector store
2026-07-18 21:27:01 | INFO     | utils.file_utils | Saved upload 'Offer_Letter_631417_1498925.pdf' (907575 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\Offer_Letter_631417_1498925.pdf
2026-07-18 21:27:02 | INFO     | core.text_processor | Extracted 2 non-empty page(s) from 'Offer_Letter_631417_1498925.pdf'
2026-07-18 21:27:02 | INFO     | core.text_processor | Split 'Offer_Letter_631417_1498925.pdf' into 4 chunk(s)
2026-07-18 21:27:03 | INFO     | core.vector_store | Added 4 chunk(s) to the vector store
2026-07-18 21:27:03 | INFO     | utils.file_utils | Saved upload 'SubVerse_AI_JD_Interview_QnA.pdf' (11765 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\SubVerse_AI_JD_Interview_QnA.pdf
2026-07-18 21:27:03 | INFO     | core.text_processor | Extracted 4 non-empty page(s) from 'SubVerse_AI_JD_Interview_QnA.pdf'
2026-07-18 21:27:03 | INFO     | core.text_processor | Split 'SubVerse_AI_JD_Interview_QnA.pdf' into 16 chunk(s)
2026-07-18 21:27:08 | INFO     | core.vector_store | Added 16 chunk(s) to the vector store
2026-07-18 21:27:08 | INFO     | utils.file_utils | Saved upload 'Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf' (377671 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf
2026-07-18 21:27:08 | INFO     | core.text_processor | Extracted 7 non-empty page(s) from 'Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf'
2026-07-18 21:27:08 | INFO     | core.text_processor | Split 'Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf' into 29 chunk(s)
2026-07-18 21:27:16 | INFO     | core.vector_store | Added 29 chunk(s) to the vector store
